tof,distance,polar,azimuthal,weight
3979.60009766,3.20372,2.33303,-0.294472,0.00121752
3849.40014648,3.19345,2.28521,-0.262212,0.000121492
4087.30004883,3.46193,2.26403,-0.586731,0.108642
3964.30004883,3.20805,2.28126,-0.29031,0.0020969
3890.30004883,3.3908,2.26613,-0.523398,8.69636e-11
3948.19995117,3.19905,2.30034,-0.279026,0.0307774
4071.80004883,3.37118,2.2328,-0.487828,1.47796e-07
4073.90014648,3.3793,2.23844,-0.498992,0.0024684
3900.5,3.39686,2.24187,-0.517936,0.0512245
3980.19995117,3.21255,2.30495,-0.306542,8.07791e-06
3870.69995117,3.25588,2.30122,-0.376911,4.74627e-05
3874.40014648,3.24579,2.31233,-0.36453,0.000281023
3904.90014648,3.41857,2.23684,-0.535721,0.00194837
4097.80029297,3.28041,2.28643,-0.406597,0.000178978
4094.19995117,3.42854,2.26454,-0.557954,5.67579e-10
4081.5,3.42535,2.26532,-0.555421,0.356674
4074.69995117,3.30747,2.26352,-0.431968,1.67474e-09
3841.19995117,3.25489,2.31812,-0.379637,0.00271249
4086.90014648,3.37409,2.28586,-0.514729,2.31911e-10
3987.10009766,3.24037,2.32228,-0.358051,0.0107264
3838.30004883,3.18891,2.32879,-0.262883,0.173456
3859.0,3.22792,2.27598,-0.324019,0.008055
3906.10009766,3.50559,2.23911,-0.610105,4.40114e-07
4100.30029297,3.45794,2.25749,-0.580397,0.00917541
4060.80004883,3.3334,2.27269,-0.466191,0.250998
3850.5,3.23107,2.29979,-0.337642,0.134933
4068.0,3.33678,2.24853,-0.459155,0.113263
4093.5,3.42173,2.23611,-0.538232,2.29216e-05
4014.5,3.26,2.29189,-0.380059,2.97635e-07
4102.10009766,3.24373,2.31291,-0.361458,7.36299e-20
3959.60009766,3.21432,2.2961,-0.307303,0.00151912
3857.30004883,3.18821,2.31186,-0.258735,0.000951762
4074.10009766,3.26959,2.26518,-0.383365,0.174819
3895.69995117,3.40718,2.22459,-0.518639,0.0117218
4087.80004883,3.27255,2.25651,-0.383471,0.00874022
3881.30004883,3.29304,2.25927,-0.412034,0.0151072
4085.69995117,3.43109,2.24886,-0.553011,0.0354504
4088.60009766,3.44429,2.23098,-0.555597,0.0291364
3864.5,3.21502,2.2794,-0.302651,0.00970584
4089.80004883,3.45196,2.21469,-0.553263,0.0311221
4089.30004883,3.26959,2.30569,-0.397837,0.00764475
4003.0,3.22044,2.31957,-0.324051,0.00217492
3860.0,3.28537,2.29321,-0.415467,0.247231
3900.10009766,3.33475,2.29615,-0.476335,0.00117944
4098.89990234,3.38159,2.2607,-0.51197,1.47382e-10
4092.60009766,3.30747,2.26352,-0.431968,1.38846e-07
3862.5,3.25207,2.26968,-0.35994,0.00401299
3873.10009766,3.21278,2.3133,-0.308935,0.0100275
4092.30004883,3.26803,2.3144,-0.397848,0.00490616
3968.30004883,3.19744,2.30079,-0.275855,0.00118901
3915.80004883,3.44407,2.24583,-0.562962,0.000296138
3901.5,3.50206,2.21824,-0.596249,0.00156797
3837.90014648,3.25066,2.26203,-0.354363,0.088612
4083.0,3.29373,2.25126,-0.409098,0.0207987
4070.60009766,3.31303,2.25431,-0.434466,2.0841e-05
4066.19995117,3.2592,2.25986,-0.366085,0.000660056
4088.0,3.4782,2.21622,-0.576069,0.191393
4118.60009766,3.51604,2.22237,-0.609324,5.62635e-07
4048.80004883,3.29479,2.28264,-0.423961,0.0688265
4079.69995117,3.25138,2.29422,-0.368078,0.0139125
4098.10009766,3.47414,2.2316,-0.581121,0.00270263
3856.0,3.23921,2.28114,-0.344658,0.02162
3847.30004883,3.21681,2.32062,-0.317721,0.337983
3866.60009766,3.24717,2.29537,-0.362046,9.56855e-07
3961.30004883,3.19145,2.31945,-0.267289,0.00148392
3859.19995117,3.21634,2.28727,-0.308051,4.90466e-05
4093.10009766,3.45065,2.2443,-0.567891,0.000108551
3866.0,3.19744,2.30922,-0.278017,0.000151218
3878.40014648,3.31774,2.28464,-0.452756,2.26095e-09
4073.60009766,3.35403,2.23679,-0.472031,0.0129552
3845.90014648,3.20468,2.32415,-0.295359,0.027015
4121.10009766,3.51376,2.20155,-0.595695,0.00114073
3871.40014648,3.26441,2.2907,-0.386007,0.00900646
3976.0,3.21325,2.27987,-0.299574,1.58931e-05
3835.30004883,3.23767,2.31463,-0.352201,0.00273254
3877.30004883,3.28753,2.27653,-0.412286,0.00185464
3866.40014648,3.25138,2.28604,-0.365327,0.00603305
4085.0,3.34179,2.25502,-0.467809,2.74464e-12
3854.19995117,3.21255,2.30495,-0.306542,0.0589815
3954.0,3.19586,2.30123,-0.272678,0.000545171
3891.40014648,3.42788,2.24961,-0.550504,0.00428146
3854.90014648,3.21572,2.27105,-0.300376,0.00117026
3866.30004883,3.25374,2.2773,-0.365583,0.00126579
4075.90014648,3.32804,2.27406,-0.460659,0.000502482
3913.40014648,3.51669,2.208,-0.601723,2.72115e-09
3889.69995117,3.34292,2.29399,-0.484696,2.64284e-05
4069.30004883,3.31515,2.28532,-0.449933,0.409828
4074.80004883,3.40585,2.24729,-0.529149,0.00636529
4016.30004883,3.24443,2.32111,-0.364255,3.04637e-07
4080.30004883,3.34292,2.29399,-0.484696,2.41799e-05
3897.0,3.42601,2.22038,-0.533652,0.0102884
3848.69995117,3.26734,2.26576,-0.38046,0.914434
4056.90014648,3.25805,2.27617,-0.371502,0.416976
4091.90014648,3.33071,2.27338,-0.463429,5.78275e-10
3857.30004883,3.27186,2.30506,-0.400821,0.26314
4093.90014648,3.28041,2.28643,-0.406597,0.00396672
3885.19995117,3.31234,2.27808,-0.44388,5.13204e-05
3906.5,3.45729,2.2354,-0.569051,0.000381279
4077.80004883,3.28064,2.29448,-0.409617,0.0283055
4087.40014648,3.32804,2.2662,-0.457394,1.80161e-05
3858.30004883,3.19727,2.27592,-0.266449,0.00320708
3863.0,3.20372,2.33303,-0.294472,5.72857e-06
3873.90014648,3.32342,2.25177,-0.445511,0.0144181
3899.80004883,3.40102,2.27901,-0.538568,0.0381032
3848.19995117,3.19298,2.31901,-0.270529,0.0250617
4109.0,3.49898,2.24791,-0.609324,0.0176182
3846.0,3.19886,2.2755,-0.269561,0.00215487
3867.0,3.22913,2.29204,-0.33202,0.000399481
4091.0,3.38756,2.25925,-0.517209,9.37579e-05
3881.10009766,3.2592,2.25986,-0.366085,1.68987e-05
3914.5,3.50666,2.25348,-0.618011,0.0341109
3919.60009766,3.49484,2.23425,-0.59918,0.0100251
3882.40014648,3.31819,2.29253,-0.456052,3.63936e-08
4088.5,3.49613,2.20524,-0.584142,0.00567751
3921.69995117,3.48442,2.22931,-0.588273,0.000955242
4082.90014648,3.42283,2.27356,-0.556653,0.0550125
3890.60009766,3.37118,2.28661,-0.51204,0.103496
3843.80004883,3.2417,2.27237,-0.345085,2.86847e-07
3968.80004883,3.21395,2.27151,-0.29732,0.0516239
4086.30004883,3.33883,2.27132,-0.471692,4.66985e-05
3901.80004883,3.3973,2.27221,-0.532259,5.28778e-05
3884.0,3.37409,2.23212,-0.490435,2.8154e-09
3983.19995117,3.21997,2.31125,-0.321537,0.189832
3923.80004883,3.49135,2.22778,-0.593004,8.69966e-06
3876.0,3.39969,2.25632,-0.527593,1.94421e-06
3906.19995117,3.47414,2.23892,-0.5849,0.000680241
3873.10009766,3.31001,2.26288,-0.434769,0.00694489
3848.69995117,3.2108,2.30544,-0.303397,0.0549486
4095.69995117,3.46735,2.23312,-0.576316,0.0241746
4081.5,3.2651,2.30693,-0.391848,0.00678895
3913.30004883,3.51269,2.23751,-0.614772,0.0703305
3863.40014648,3.26464,2.27445,-0.380329,0.00561423
4090.19995117,3.32804,2.27406,-0.460659,0.00229833
4065.5,3.28582,2.30123,-0.418563,1.51553e-07
4100.70019531,3.47414,2.2316,-0.581121,0.0295653
4133.20019531,3.51669,2.24387,-0.621045,2.60231e-05
3904.69995117,3.3973,2.27221,-0.532259,0.000100426
4074.10009766,3.34432,2.26994,-0.477163,0.000123012
4096.89990234,3.4513,2.25907,-0.575465,5.94152e-11
4094.80004883,3.28277,2.28581,-0.40951,0.00746807
3890.69995117,3.42601,2.27278,-0.559204,0.00761518
3903.80004883,3.44429,2.23098,-0.555597,4.17188e-10
3849.19995117,3.19415,2.33589,-0.274883,0.120744
3834.80004883,3.24533,2.30414,-0.361755,2.36192e-09
4079.80004883,3.28775,2.2685,-0.409301,8.81158e-05
3927.60009766,3.50956,2.2095,-0.597124,0.0260818
3844.90014648,3.24239,2.3217,-0.361157,0.0365102
3919.0,3.4881,2.24307,-0.598303,3.68374e-05
3866.69995117,3.26138,2.25931,-0.368999,4.33169e-05
4120.0,3.48442,2.22931,-0.588273,1.9245e-07
3863.5,3.195,2.28479,-0.265356,0.000629667
3862.80004883,3.21255,2.29659,-0.304185,6.04924e-05
3914.30004883,3.46398,2.23388,-0.573902,0.0317272
3856.5,3.29725,2.282,-0.426829,0.00142494
4080.60009766,3.29502,2.26666,-0.417855,0.0306522
4083.10009766,3.34709,2.26146,-0.476528,0.0202323
4081.5,3.28514,2.28518,-0.412415,0.00416121
4093.69995117,3.39493,2.22736,-0.508485,0.000639703
3922.90014648,3.50602,2.2463,-0.614036,1.38611e-05
3968.19995117,3.20067,2.29989,-0.282191,0.0122211
4069.19995117,3.25351,2.28547,-0.368314,0.296833
3924.19995117,3.50892,2.23112,-0.608549,2.2809e-09
4113.20019531,3.50249,2.211,-0.592496,1.17603e-08
4077.10009766,3.3208,2.25241,-0.44276,0.00895974
3873.30004883,3.25588,2.27674,-0.368546,0.00549124
3905.19995117,3.38779,2.26687,-0.520779,7.56089e-12
4072.60009766,3.32561,2.28259,-0.461177,3.19398e-11
4089.10009766,3.30747,2.26352,-0.431968,0.000122461
4071.19995117,3.28414,2.25362,-0.397776,0.174146
4085.5,3.33363,2.28052,-0.469528,1.6071e-10
3876.30004883,3.34292,2.2394,-0.461356,3.72627e-14
4087.69995117,3.33071,2.27338,-0.463429,3.27546e-08
3875.30004883,3.31887,2.24514,-0.436919,0.00390105
3913.10009766,3.40343,2.27069,-0.537462,2.12433e-05
4059.5,3.23246,2.26669,-0.327617,0.00889452
3897.40014648,3.41652,2.22249,-0.526178,0.100163
3862.90014648,3.34709,2.26924,-0.479887,0.198368
4120.20019531,3.48917,2.2067,-0.579471,6.74575e-10
3877.10009766,3.24579,2.2713,-0.351046,4.38851e-05
3992.80004883,3.23107,2.29979,-0.337642,0.043422
3865.80004883,3.19586,2.30123,-0.272678,0.000217797
3874.80004883,3.28775,2.2685,-0.409301,0.00908519
4090.80004883,3.43453,2.23319,-0.5482,2.18314e-05
3853.40014648,3.2651,2.26633,-0.377549,0.0216654
3903.40014648,3.34018,2.24005,-0.458669,1.18404e-09
3953.0,3.19415,2.27675,-0.26021,9.97683e-06
4077.40014648,3.28299,2.26972,-0.403562,0.0004549
4045.10009766,3.23568,2.3152,-0.349101,5.34058e-05
4080.80004883,3.2811,2.26226,-0.397786,0.0104454
3873.90014648,3.3029,2.29661,-0.438913,1.94804e-07
4085.60009766,3.2913,2.30792,-0.427587,0.000547114
4091.19995117,3.31047,2.25494,-0.431687,7.64155e-11
3915.30004883,3.47074,2.23969,-0.582493,0.00365182
3842.90014648,3.27186,2.26461,-0.386263,0.00382473
4084.40014648,3.2889,2.30858,-0.424648,4.13636e-07
3866.10009766,3.18821,2.30339,-0.256709,2.9551e-07
4074.80004883,3.28041,2.27838,-0.403619,0.0736107
4047.30004883,3.24579,2.31233,-0.36453,0.0758229
3896.69995117,3.39382,2.24258,-0.515365,0.000393411
4107.5,3.492,2.21324,-0.5855,0.000229262
3912.5,3.51269,2.21595,-0.6032,0.213863
3849.19995117,3.21634,2.31229,-0.315249,0.220131
4061.0,3.25161,2.3024,-0.37087,1.98926e-11
3875.80004883,3.34432,2.26994,-0.477163,2.42996e-05
3878.0,3.33633,2.25636,-0.462376,0.00800857
4134.30029297,3.51247,2.23033,-0.610872,8.15972e-05
3970.80004883,3.19656,2.32653,-0.279197,7.62884e-05
4083.69995117,3.34567,2.29326,-0.487467,0.00137331
3859.10009766,3.19041,2.32835,-0.266157,0.0196735
4086.10009766,3.35834,2.2587,-0.487296,2.04366e-05
3949.69995117,3.18962,2.27797,-0.250813,0.0032708
3880.80004883,3.26358,2.31566,-0.391808,1.79826e-07
4105.5,3.48853,2.21399,-0.583153,2.48932e-07
3878.60009766,3.28651,2.25303,-0.400617,0.00106951
